,number_of_jobs,number_of_machines,number_of_workers,optimum_reached,T(s),T_opt(s),LP,number_of_variables,number_of_constraints,nzs,version,number_of_projects
73,200	,8,8,False,3600.0,,,,,,D,
74,200,8,8,True,1083.1129999160767,1083.1129999160767,0.0,634432,88608,9103493,E,
75,200,8,8,False,3600.0,,,,,,F,
76,200,8,8,True,1333.3940000534058,1333.3940000534058,31.0,667300,88608,9318234,G,
77,200,8,8,False,3600.0,,,,,,H,
78,200,8,8,False,3600.213000059128,3600.0,3044.0,545420,88408,7632187,I,
79,200,8,8,False,3600.338000059128,3600.0,1792.0,552110,104497,11897522,J,
80,200,20,10,True,58.449000120162964,58.449000120162964,0.0,1562770,97020,30918180,A,
81,200,20,10,False,3600.0,,,,,,B,
82,200,20,10,True,82.05200004577637,82.05200004577637,0.0,1447492,96620,25803401,C,
83,200,20,10,True,93.09100008010864,93.09100008010864,0.0,1500844,96623,28375262,D,
84,200,20,10,True,161.14900016784668,161.14900016784668,0.0,1330408,96220,22054514,E,
85,200,20,10,True,309.32099986076355,309.32099986076355,0.0,1294264,168596,43977008,F,
86,200,20,10,True,233.03700017929077,233.03700017929077,0.0,1168168,95820,19474025,G,
87,200,20,10,False,3600.0,,,,,,H,
88,200,20,10,True,278.88700008392334,278.88700008392334,0.0,963958,95420,15321636,I,
89,200,20,10,False,3600.0,,,,,,J,
90,200,20,20,True,71.61400008201599,71.61400008201599,0.0,2084640,101020,45464920,A,
91,200,20,20,False,3600.0,,,,,,B,
92,200,20,20,True,175.76900005340576,175.76900005340576,0.0,1930972,100620,38079497,C,
93,200,20,20,False,3600.0,,,,,,D,
94,200,20,20,True,215.17099976539612,215.17099976539612,0.0,1728784,100220,33476871,E,
95,200,20,20,False,3600.0,,,,,,F,
96,200,20,20,True,139.65700006484985,139.65700006484985,0.0,1589344,99820,27128446,G,
97,200,20,20,False,3600.0,,,,,,H,
98,200,20,20,True,120.14199995994568,120.14199995994568,0.0,1322488,99420,20090281,I,
99,200,20,20,True,199.5970001220703,199.5970001220703,0.0,1377160,187879,43555798,J,
