,J,M,K,mode,#opt,T(s),T_opt(s),LP,#vars,#constrs,#nzs
0,200,20,10,A,True,60.67700004577637,60.67700004577637,0.0,1562770,97020,30918180
0,200,20,10,B,False,3600.0,3600.0,,0,0,0
0,200,20,10,C,True,82.71600008010864,82.71600008010864,0.0,1447492,96620,25803401
0,200,20,10,D,True,94.53099989891052,94.53099989891052,0.0,1500844,96623,28375262
0,200,20,10,E,True,163.39199995994568,163.39199995994568,0.0,1330408,96220,22054514
0,200,20,10,F,True,319.78600001335144,319.78600001335144,0.0,1294264,168596,43977008
0,200,20,10,G,True,237.08200001716614,237.08200001716614,0.0,1168168,95820,19474025
0,200,20,10,H,False,3600.0,3600.0,,0,0,0
0,200,20,10,I,True,284.154000043869,284.154000043869,0.0,963958,95420,15321636
0,200,20,10,J,False,3600.0,3600.0,,0,0,0
