,J,M,K,mode,#opt,T(s),T_opt(s),LP,#vars,#constrs,#nzs
0,100,10,10,A,True,17.93400001525879,17.93400001525879,0.0,564420,49510,9995260
0,100,10,10,B,True,147.2960000038147,147.2960000038147,0.0,579720,141998,41181136
0,100,10,10,C,True,20.10199999809265,20.10199999809265,0.0,496532,49410,9384610
0,100,10,10,D,True,608.8699998855591,608.8699998855591,0.0,530102,186129,51300907
0,100,10,10,E,True,41.145999908447266,41.145999908447266,0.0,435640,49310,6949485
0,100,10,10,F,True,40.663999795913696,40.663999795913696,0.0,461128,69415,12443098
0,100,10,10,G,True,15.30299997329712,15.30299997329712,0.0,384556,49210,5570632
0,100,10,10,H,True,32.5,32.5,0.0,383254,61275,8852244
0,100,10,10,I,True,12.335000038146973,12.335000038146973,0.0,317372,49110,4796943
0,100,10,10,J,True,104.77700018882751,104.77700018882751,0.0,347192,133552,22763903
