,J,M,K,mode,#opt,T(s),T_opt(s),LP,#vars,#constrs,#nzs
0,50,5,3,A,True,3.1530001163482666,3.1530001163482666,0.0,112844,23705,1608507
0,50,5,3,B,True,20.00600004196167,20.00600004196167,0.0,102164,31750,3384977
0,50,5,3,C,True,2.9040000438690186,2.9040000438690186,0.0,89714,23655,1388097
0,50,5,3,D,True,53.27500009536743,53.27500009536743,0.0,105604,57842,9601648
0,50,5,3,E,True,3.7809998989105225,3.7809998989105225,0.0,83782,23655,1120314
0,50,5,3,F,True,174.85599994659424,174.85599994659424,28.0,88378,53822,8846112
0,50,5,3,G,True,3.8559999465942383,3.8559999465942383,0.0,78826,23655,1104397
0,50,5,3,H,True,58.223000049591064,58.223000049591064,47.0,92800,41755,6052266
0,50,5,3,I,True,1.9049999713897705,1.9049999713897705,0.0,68440,23605,876094
0,50,5,3,J,True,171.83399987220764,171.83399987220764,41.0,74865,49750,6261421
