,J,M,K,mode,#opt,T(s),T_opt(s),LP,#vars,#constrs,#nzs
0,100,10,10,A,True,146.5550000667572,146.5550000667572,0.0,2821300,8310,60454500
0,100,10,10,B,False,3600.0,3600.0,,0,0,0
0,100,10,10,C,True,197.1119999885559,197.1119999885559,0.0,2002512,8310,51613294
0,100,10,10,D,False,3600.0,3600.0,,0,0,0
0,100,10,10,E,True,66.53600001335144,66.53600001335144,0.0,1395561,8310,30022874
0,100,10,10,F,True,202.91299986839294,202.91299986839294,0.0,1472716,24395,62743137
0,100,10,10,G,True,38.21300005912781,38.21300005912781,0.0,937666,8310,18925550
0,100,10,10,H,True,89.50499987602234,89.50499987602234,0.0,936513,16757,33671375
0,100,10,10,I,True,27.388000011444092,27.388000011444092,0.0,569147,8310,12830706
0,100,10,10,J,True,282.58399987220764,282.58399987220764,0.0,633239,58984,73423863
