,J,M,K,mode,#opt,T(s),T_opt(s),LP,#vars,#constrs,#nzs
0,50,2,2,A,True,13.868000030517578,13.868000030517578,20.0,54680,1752,1055414
0,50,2,2,B,True,452.7650001049042,452.7650001049042,393.0,57068,10609,6692156
0,50,2,2,C,True,15.24399995803833,15.24399995803833,169.9999902224682,54100,1752,1049038
0,50,2,2,D,True,168.59999990463257,168.59999990463257,546.0,57368,5777,3693940
0,50,2,2,E,True,7.1549999713897705,7.1549999713897705,53.0,54184,1752,892150
0,50,2,2,F,True,133.81900000572205,133.81900000572205,846.0,59036,7388,4849398
0,50,2,2,G,True,3.136000156402588,3.136000156402588,1083.0,13098,1752,272510
0,50,2,2,H,True,469.4810001850128,469.4810001850128,2707.0,12817,4976,915376
0,50,2,2,I,True,2.947999954223633,2.947999954223633,1456.9999999999854,14041,1752,349222
0,50,2,2,J,False,3600.0810000896454,3600.0,,14668,7800,1808480
