,J,M,K,mode,#opt,T(s),T_opt(s),LP,#vars,#constrs,#nzs
0,50,2,2,A,True,10.235999822616577,10.235999822616577,19.999996400123486,54680,21952,691522
0,50,2,2,B,True,410.43099999427795,410.43099999427795,393.0,57068,30809,3517070
0,50,2,2,C,True,10.976999998092651,10.976999998092651,170.0,54100,21952,686594
0,50,2,2,D,True,109.23499989509583,109.23499989509583,546.0,57368,25977,2018854
0,50,2,2,E,True,5.481000185012817,5.481000185012817,53.0,54184,21952,608402
0,50,2,2,F,True,167.80099987983704,167.80099987983704,845.9999999999991,59036,27588,2601590
0,50,2,2,G,True,3.8259999752044678,3.8259999752044678,1083.0,26096,21902,337500
0,50,2,2,H,True,207.34699988365173,207.34699988365173,2706.999999999998,25534,28342,1027060
0,50,2,2,I,True,3.1039998531341553,3.1039998531341553,1456.9999999999882,27982,21902,418927
0,50,2,2,J,False,3600.28200006485,3600.0,,29236,33980,1972490
