,J,M,K,mode,#opt,T(s),T_opt(s),LP,#vars,#constrs,#nzs
0,100,4,4,A,True,383.70300006866455,383.70300006866455,48.0,424360,3504,9160428
0,100,4,4,B,False,3601.1419999599457,3600.0,,466792,37295,52017482
0,100,4,4,C,False,3600.2089998722076,3600.0,,441320,3504,9630252
0,100,4,4,D,False,3601.2409999370575,3600.0,,478056,37296,56015340
0,100,4,4,E,True,651.3180000782013,651.3180000782013,483.0,180028,3504,3612844
0,100,4,4,F,True,195.8109998703003,195.8109998703003,2.0,187715,9544,7623336
0,100,4,4,G,True,134.66299986839294,134.66299986839294,168.0,188623,3504,3480604
0,100,4,4,H,False,3600.4430000782013,3600.0,,183592,5919,6127922
0,100,4,4,I,True,117.70299983024597,117.70299983024597,575.0,52506,3504,1038872
0,100,4,4,J,False,3600.6200001239777,3600.0,,55737,31683,8871540
