,J,M,K,mode,#opt,T(s),T_opt(s),LP,#vars,#constrs,#nzs
0,200,8,8,A,True,511.8109998703003,511.8109998703003,0.0,873984,89008,13899672
0,200,8,8,B,False,3601.055999994278,3600.0,,936960,163003,49059350
0,200,8,8,C,True,2206.790999889374,2206.790999889374,54.0,769154,88808,12131746
0,200,8,8,D,False,3600.0,3600.0,,0,0,0
0,200,8,8,E,True,1096.7760000228882,1096.7760000228882,0.0,634432,88608,9103493
0,200,8,8,F,False,3600.0,3600.0,,0,0,0
0,200,8,8,G,True,1351.885999917984,1351.885999917984,31.0,667300,88608,9318234
0,200,8,8,H,False,3600.0,3600.0,,0,0,0
0,200,8,8,I,False,3600.2309999465942,3600.0,,545420,88408,7632187
0,200,8,8,J,False,3603.9670000076294,3600.0,,552110,104497,11897522
