,J,M,K,mode,#opt,T(s),T_opt(s),LP,#vars,#constrs,#nzs
0,200,20,20,A,True,71.27900004386902,71.27900004386902,0.0,2084640,101020,45464920
0,200,20,20,B,False,3600.0,3600.0,,0,0,0
0,200,20,20,C,True,176.02600002288818,176.02600002288818,0.0,1930972,100620,38079497
0,200,20,20,D,False,3600.0,3600.0,,0,0,0
0,200,20,20,E,True,219.03600001335144,219.03600001335144,0.0,1728784,100220,33476871
0,200,20,20,F,False,3600.0,3600.0,,0,0,0
0,200,20,20,G,True,139.8949999809265,139.8949999809265,0.0,1589344,99820,27128446
0,200,20,20,H,False,3600.0,3600.0,,0,0,0
0,200,20,20,I,True,121.11899995803833,121.11899995803833,0.0,1322488,99420,20090281
0,200,20,20,J,True,201.77900004386902,201.77900004386902,0.0,1377160,187879,43555798
