,J,M,K,mode,#opt,T(s),T_opt(s),LP,#vars,#constrs,#nzs
0,100,4,4,A,True,166.52900004386902,166.52900004386902,48.0,212280,44104,3138652
0,100,4,4,B,False,3600.2170000076294,3600.0,,233496,77895,13937814
0,100,4,4,C,False,3600.375,3600.0,,220760,44104,3290028
0,100,4,4,D,True,1997.7740001678467,1997.7740001678467,19.0,239128,77896,14959808
0,100,4,4,E,True,835.6909999847412,835.6909999847412,483.0,159458,44004,2104244
0,100,4,4,F,True,205.89900016784668,205.89900016784668,2.0,167648,52054,4014374
0,100,4,4,G,True,237.5590000152588,237.5590000152588,168.0,168470,44004,2063027
0,100,4,4,H,False,3600.095999956131,3600.0,,162278,47223,3171614
0,100,4,4,I,True,444.32999992370605,444.32999992370605,575.0,108180,43904,1262394
0,100,4,4,J,False,3600.611999988556,3600.0,,113948,100223,10633737
