,J,M,K,mode,#opt,T(s),T_opt(s),LP,#vars,#constrs,#nzs
0,50,5,5,A,True,4.331000089645386,4.331000089645386,0.0,130350,24505,2421085
0,50,5,5,B,True,13.391000032424927,13.391000032424927,0.0,137560,32550,4561035
0,50,5,5,C,True,2.6050000190734863,2.6050000190734863,0.0,112644,24455,1422651
0,50,5,5,D,True,45.31500005722046,45.31500005722046,0.0,121916,54621,8669753
0,50,5,5,E,True,3.069000005722046,3.069000005722046,0.0,102468,24455,1268239
0,50,5,5,F,True,125.46600008010864,125.46600008010864,6.0,123268,38535,6095097
0,50,5,5,G,True,3.861999988555908,3.861999988555908,0.0,110332,24455,1602467
0,50,5,5,H,True,93.21099996566772,93.21099996566772,0.0,116404,54620,8866671
0,50,5,5,I,True,6.056999921798706,6.056999921798706,1.0,79348,24405,1099867
0,50,5,5,J,True,9.92300009727478,9.92300009727478,0.0,88228,38484,3450535
