,J,M,K,mode,#opt,T(s),T_opt(s),LP,#vars,#constrs,#nzs
0,50,5,5,A,True,16.186999797821045,16.186999797821045,0.0,325725,4155,9174200
0,50,5,5,B,True,50.75399994850159,50.75399994850159,0.0,343750,12200,19711685
0,50,5,5,C,True,6.214000225067139,6.214000225067139,0.0,180065,4155,3257124
0,50,5,5,D,True,96.71199989318848,96.71199989318848,0.0,198395,28291,25871406
0,50,5,5,E,True,5.398000001907349,5.398000001907349,0.0,166053,4155,2940944
0,50,5,5,F,True,186.88299989700317,186.88299989700317,6.0,195747,15421,17472409
0,50,5,5,G,True,7.878000020980835,7.878000020980835,0.0,177889,4155,3882876
0,50,5,5,H,True,138.62199997901917,138.62199997901917,0.0,185511,28290,26665042
0,50,5,5,I,True,4.802000045776367,4.802000045776367,1.0,69575,4155,1505980
0,50,5,5,J,True,15.116999864578247,15.116999864578247,0.0,80696,12606,5780954
